MemTotal:       63903732 kB
MemFree:         4371300 kB
MemAvailable:   45716464 kB
Buffers:          823724 kB
Cached:         40951068 kB
SwapCached:      2142912 kB
Active:         27794784 kB
Inactive:       27321876 kB
Active(anon):   11994352 kB
Inactive(anon):  3755300 kB
Active(file):   15800432 kB
Inactive(file): 23566576 kB
Unevictable:      295868 kB
Mlocked:             112 kB
SwapTotal:      33554428 kB
SwapFree:       29598892 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:               936 kB
Writeback:             0 kB
AnonPages:      13569720 kB
Mapped:          2823920 kB
Shmem:           2408524 kB
KReclaimable:    2697852 kB
Slab:            3528516 kB
SReclaimable:    2697852 kB
SUnreclaim:       830664 kB
KernelStack:       59676 kB
PageTables:       217512 kB
SecPageTables:      9252 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    65506292 kB
Committed_AS:   77584244 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      162580 kB
VmallocChunk:          0 kB
Percpu:            28064 kB
HardwareCorrupted:     0 kB
AnonHugePages:      2048 kB
ShmemHugePages:  1067008 kB
ShmemPmdMapped:        0 kB
FileHugePages:  10323968 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
Unaccepted:            0 kB
Balloon:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      401164 kB
DirectMap2M:    12597248 kB
DirectMap1G:    54525952 kB
